Date,Date2,WY,WYNN,XEL,XLEFF,XOM,XYL,YUM,ZBH,ZION,ZTS,,,
01-02-2013,01-02-2013,20.88337135,103.0481186,20.47870445,0.058499999,58.9541893,24.50432396,39.33657455,65.83982086,20.09692192,28.95298004,,,
01-02-2016,01-02-2016,19.78253555,60.77331161,31.62281609,0.060699999,54.58005524,32.6552887,46.49283981,91.15746307,19.23461151,41.10414505,,,
01-02-2017,01-02-2017,24.57888031,90.66842651,34.43699265,0.052000001,61.43352127,45.6990509,58.62797928,110.0293045,36.66691971,53.36260605,,,
01-02-2018,01-02-2018,30.46596146,160.5641022,39.17078018,0.253500015,68.48540497,70.48464203,76.85554504,119.9650192,47.95544434,75.58274078,,,
01-02-2019,01-02-2019,22.82989311,121.0592346,47.1217041,0.193100005,60.79361343,66.85099792,87.65361023,110.0611954,42.95895386,85.16740417,,,
01-02-2021,01-02-2021,29.3358593,101.7600021,60.92032242,0.229000002,40.70313644,94.98612976,99.44939423,147.5058441,42.41957474,153.8385162,,,
01-02-2022,01-02-2022,38.444767,88.19000244,67.09078217,0.190359995,77.74581146,103.5726166,121.2494278,119.6094589,67.19949341,197.7385864,,,
01-03-2013,01-03-2013,20.43826294,95.82891846,20.99048424,0.058499999,58.92887878,24.14779091,38.90701294,67.20197296,20.19755554,32.30482864,,,
01-03-2016,01-03-2016,20.20715332,77.03274536,32.36088943,0.060699999,58.67782593,34.92835236,48.45812988,89.64783478,19.12685966,40.28128815,,,
01-03-2017,01-03-2017,27.16721916,95.64565277,36.86952972,0.052000001,62.05508041,46.2433815,59.2606163,110.3821182,40.25466919,51.9832077,,,
01-03-2018,01-03-2018,28.43005943,154.3744354,37.73717499,0.253199995,58.41209793,69.20572662,73.27651978,106.2643585,47.61538696,78.12743378,,,
01-03-2019,01-03-2019,21.62936783,120.8576431,49.63413239,0.202900007,64.77194214,73.01889038,89.20667267,118.3771515,45.79639435,93.58248138,,,
01-03-2021,01-03-2021,32.10097885,131.7899933,56.35653687,0.275000006,51.97333527,100.2468567,101.331955,156.611145,52.34172058,155.9249115,,,
